2019-02-22 10:18:30,841  INFO AWT-EventQueue-0:3759 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 6, 0
2019-02-22 10:18:30,841  INFO AWT-EventQueue-0:3759 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=6,y=0]
2019-02-22 10:18:30,850  INFO AWT-EventQueue-0:3768 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 262, 136
2019-02-22 10:18:30,850  INFO AWT-EventQueue-0:3768 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 5, 0
2019-02-22 10:18:30,850  INFO AWT-EventQueue-0:3768 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=5,y=0]
2019-02-22 10:18:30,858  INFO AWT-EventQueue-0:3776 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 255, 129
2019-02-22 10:18:30,859  INFO AWT-EventQueue-0:3777 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 5, 0
2019-02-22 10:18:30,859  INFO AWT-EventQueue-0:3777 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=5,y=0]
2019-02-22 10:18:30,866  INFO AWT-EventQueue-0:3784 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 247, 122
2019-02-22 10:18:30,867  INFO AWT-EventQueue-0:3785 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 5, 0
2019-02-22 10:18:30,867  INFO AWT-EventQueue-0:3785 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=5,y=0]
2019-02-22 10:18:30,876  INFO AWT-EventQueue-0:3794 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 241, 116
2019-02-22 10:18:30,877  INFO AWT-EventQueue-0:3795 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 5, 0
2019-02-22 10:18:30,878  INFO AWT-EventQueue-0:3796 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=5,y=0]
2019-02-22 10:18:30,881  INFO AWT-EventQueue-0:3799 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 235, 111
2019-02-22 10:18:30,881  INFO AWT-EventQueue-0:3799 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 5, 0
2019-02-22 10:18:30,882  INFO AWT-EventQueue-0:3800 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=5,y=0]
2019-02-22 10:18:30,893  INFO AWT-EventQueue-0:3811 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 229, 107
